example_id                                         | status | run_time        |
./spec/lib/refinements/strings_spec.rb[1:8:2]      | passed | 0.0001 seconds  |
./spec/lib/refinements/strings_spec.rb[1:8:3]      | passed | 0.00009 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:4]      | passed | 0.00012 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:5]      | passed | 0.00019 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:6]      | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:7]      | passed | 0.00015 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:8]      | passed | 0.00012 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:9]      | passed | 0.00021 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:10]     | passed | 0.00019 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:11]     | passed | 0.00049 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:12]     | passed | 0.00022 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:13]     | passed | 0.00024 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:14]     | passed | 0.00042 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:15]     | passed | 0.00021 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:16]     | passed | 0.0002 seconds  |
./spec/lib/refinements/strings_spec.rb[1:8:17]     | passed | 0.00014 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:18]     | passed | 0.00011 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:19]     | passed | 0.00022 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:20]     | passed | 0.00022 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:21]     | passed | 0.00017 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:22]     | passed | 0.00029 seconds |
./spec/lib/refinements/strings_spec.rb[1:8:23]     | passed | 0.00016 seconds |
